ds,forecast
2026-01-01,275088.7799457255
2026-01-02,276873.5598046395
2026-01-03,277460.00446995674
2026-01-04,277581.8525661397
2026-01-05,277469.87454432575
2026-01-06,277252.97627990425
2026-01-07,276994.1910423386
2026-01-08,276748.89941329387
2026-01-09,276560.47563739447
2026-01-10,276371.8084897983
2026-01-11,276215.9965212661
2026-01-12,276101.53069988516
2026-01-13,276021.0557921532
2026-01-14,275957.1572011012
2026-01-15,275898.45053958026
2026-01-16,275860.1330179888
2026-01-17,275833.0917183477
2026-01-18,275810.99897654087
2026-01-19,275788.98735863296
2026-01-20,275781.63212513056
2026-01-21,275762.78433928074
2026-01-22,275764.94764325203
2026-01-23,275742.3951993513
2026-01-24,275746.5866007957
2026-01-25,275755.42910577834
2026-01-26,275755.8617665726
2026-01-27,275752.75201711385
2026-01-28,275742.3681580517
2026-01-29,275732.2006293866
2026-01-30,275736.44611343025
